service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
F-1810-FFAL2018-Saturday-01,20181027,20190427,0,0,0,0,0,1,0
F-1810-FFAL2018-Sunday-01,20181021,20190428,0,0,0,0,0,0,1
N-1810-NFAL1810-Sunday-01,20181021,20190428,0,0,0,0,0,0,1
R-1805-RSUM1805-Holiday1-03,20180903,20180903,1,1,1,1,1,1,1
S-1810-SFAL2018-Sunday-22,20181021,20190428,0,0,0,0,0,0,1
V-1810-VFAL1810-Mon-Thu-02,20181022,20190430,1,1,1,1,0,0,0
V-1805-VSUM1805-Holiday1-01,20180903,20180903,1,1,1,1,1,1,1
S-1810-SFAL2018-Mon-Thu-22,20181022,20190430,1,1,1,1,0,0,0
N-1805-NSUM1805-Weekday-02,20180716,20181019,1,1,1,1,1,0,0
V-1805-VSUM1805-Holiday1-01-1111111,20180903,20180903,1,1,1,1,1,1,1
R-1805-RSUM1805-Saturday-01,20180721,20181020,0,0,0,0,0,1,0
R-1805-RSUM1805-Mon-Thu-01,20180716,20181018,1,1,1,1,0,0,0
V-1810-VFAL1810-Saturday-02,20181027,20190427,0,0,0,0,0,1,0
N-1810-NFAL1810-Weekday-01,20181022,20190430,1,1,1,1,1,0,0
S-1805-SSUM2018-Holiday1-01-1111111,20180903,20180903,1,1,1,1,1,1,1
S-1810-SFAL2018-Saturday-22,20181027,20190427,0,0,0,0,0,1,0
VB-1805A-VB-1805A-Saturday-08,20180721,20181020,0,0,0,0,0,1,0
VB-1805A-VB-1805A-Holiday1-20,20180903,20180903,1,1,1,1,1,1,1
S-1810-SFAL2018-Friday-22,20181026,20190426,0,0,0,0,1,0,0
S-1805-SSUM2018-Sunday-13,20180715,20181014,0,0,0,0,0,0,1
V-1810-VFAL1810-Friday-02,20181026,20190426,0,0,0,0,1,0,0
N-1805-NSUM1805-Holiday1-01,20180903,20180903,1,1,1,1,1,1,1
S-1805-SSUM2018-Holiday1-01,20180903,20180903,1,1,1,1,1,1,1
VB-1805A-VB-1805A-Sunday-08,20180715,20181014,0,0,0,0,0,0,1
S-1805-SSUM2018-Mon-Thu-13,20180716,20181018,1,1,1,1,0,0,0
F-1805-FSUM2017-Sunday-01,20180715,20181014,0,0,0,0,0,0,1
VB-1805A-VB-1805A-Holiday1-20-1111111,20180903,20180903,1,1,1,1,1,1,1
S-1805-SSUM2018-Saturday-13,20180721,20181020,0,0,0,0,0,1,0
V-1805-VSUM1805-Friday-02,20180720,20181019,0,0,0,0,1,0,0
R-1805-RSUM1805-Friday-01,20180720,20181019,0,0,0,0,1,0,0
V-1805-VSUM1805-Saturday-02,20180721,20181020,0,0,0,0,0,1,0
R-1810-RFAL1810-Saturday-01,20181027,20190427,0,0,0,0,0,1,0
N-1810-NFAL1810-Saturday-01,20181027,20190427,0,0,0,0,0,1,0
F-1805-FSUM2017-Friday-01,20180720,20181019,0,0,0,0,1,0,0
V-1805-VSUM1805-Mon-Thu-02,20180716,20181018,1,1,1,1,0,0,0
VB-1805A-VB-1805A-Mon-Thu-08,20180716,20181018,1,1,1,1,0,0,0
R-1810-RFAL1810-Sunday-01,20181021,20190428,0,0,0,0,0,0,1
F-1810-FFAL2018-Friday-01,20181026,20190426,0,0,0,0,1,0,0
V-1805-VSUM1805-Sunday-02,20180715,20181014,0,0,0,0,0,0,1
S-1805-SSUM2018-Friday-13,20180720,20181019,0,0,0,0,1,0,0
R-1805-RSUM1805-Sunday-01,20180715,20181014,0,0,0,0,0,0,1
N-1805-NSUM1805-Saturday-02,20180721,20181020,0,0,0,0,0,1,0
V-1810-VFAL1810-Sunday-02,20181021,20190428,0,0,0,0,0,0,1
VB-1805A-VB-1805A-Friday-08,20180720,20181019,0,0,0,0,1,0,0
R-1810-RFAL1810-Mon-Thu-01,20181022,20190430,1,1,1,1,0,0,0
R-1810-RFAL1810-Friday-01,20181026,20190426,0,0,0,0,1,0,0
N-1805-NSUM1805-Holiday1-01-1111111,20180903,20180903,1,1,1,1,1,1,1
F-1805-FSUM2017-Mon-Thu-01,20180716,20181018,1,1,1,1,0,0,0
F-1810-FFAL2018-Mon-Thu-01,20181022,20190430,1,1,1,1,0,0,0
N-1805-NSUM1805-Sunday-02,20180715,20181014,0,0,0,0,0,0,1
F-1805-FSUM2017-Saturday-01,20180721,20181020,0,0,0,0,0,1,0
R-1805-RSUM1805-Holiday1-03-1111111,20180903,20180903,1,1,1,1,1,1,1
