service_id,date,exception_type
V-1810-VFAL1810-Holiday1-01-1111111,20190121,1
V-1810-VFAL1810-Holiday1-01-1111111,20181123,1
N-1810-NFAL1810-Holiday2-01-1111111,20190101,1
N-1810-NFAL1810-Holiday2-01-1111111,20181122,1
N-1810-NFAL1810-Holiday2-01-1111111,20181225,1
V-1810-VFAL1810-Mon-Thu-02,20190101,2
V-1810-VFAL1810-Mon-Thu-02,20190121,2
V-1810-VFAL1810-Mon-Thu-02,20181122,2
V-1810-VFAL1810-Mon-Thu-02,20181225,2
S-1810-SFAL2018-Mon-Thu-22,20190101,2
S-1810-SFAL2018-Mon-Thu-22,20190121,2
S-1810-SFAL2018-Mon-Thu-22,20181122,2
S-1810-SFAL2018-Mon-Thu-22,20181225,2
N-1805-NSUM1805-Weekday-02,20180903,2
R-1805-RSUM1805-Mon-Thu-01,20180903,2
N-1810-NFAL1810-Weekday-01,20190101,2
N-1810-NFAL1810-Weekday-01,20190121,2
N-1810-NFAL1810-Weekday-01,20181122,2
N-1810-NFAL1810-Weekday-01,20181123,2
N-1810-NFAL1810-Weekday-01,20181225,2
V-1810-VFAL1810-Holiday2-01-1111111,20190101,1
V-1810-VFAL1810-Holiday2-01-1111111,20181122,1
V-1810-VFAL1810-Holiday2-01-1111111,20181225,1
S-1810-SFAL2018-Friday-22,20181123,2
V-1810-VFAL1810-Friday-02,20181123,2
S-1805-SSUM2018-Mon-Thu-13,20180903,2
VB-1805A-VB-1805A-Mon-Thu-08,20180903,2
R-1810-RFAL1810-Holiday1-01-1111111,20190121,1
R-1810-RFAL1810-Holiday1-01-1111111,20181123,1
S-1810-SFAL2018-Holiday1-03-1111111,20190121,1
S-1810-SFAL2018-Holiday1-03-1111111,20181123,1
S-1810-SFAL2018-Holiday2-03-1111111,20190101,1
S-1810-SFAL2018-Holiday2-03-1111111,20181122,1
S-1810-SFAL2018-Holiday2-03-1111111,20181225,1
R-1810-RFAL1810-Mon-Thu-01,20190101,2
R-1810-RFAL1810-Mon-Thu-01,20190121,2
R-1810-RFAL1810-Mon-Thu-01,20181122,2
R-1810-RFAL1810-Mon-Thu-01,20181225,2
R-1810-RFAL1810-Friday-01,20181123,2
N-1810-NFAL1810-Holiday1-01-1111111,20190121,1
N-1810-NFAL1810-Holiday1-01-1111111,20181123,1
R-1810-RFAL1810-Holiday2-01-1111111,20190101,1
R-1810-RFAL1810-Holiday2-01-1111111,20181122,1
R-1810-RFAL1810-Holiday2-01-1111111,20181225,1
