fare_id,route_id,origin_id,destination_id,contains_id
1,403_merged_9740072,,,
1,101_merged_9740049,,,
1,026_merged_9740053,,,
1,414,,,
1,405_merged_9740047,,,
1,430_merged_9740057,,,
1,415_merged_9740085,,,
1,045,,,
1,025,,,
1,108,,,
1,118_merged_9740068,,,
1,005,,,
1,015,,,
1,112,,,
1,111_merged_9740066,,,
1,103,,,
1,064,,,
1,036,,,
1,119,,,
1,012,,,
1,020,,,
1,106,,,
1,044,,,
1,116_merged_9740048,,,
1,107_merged_9740056,,,
1,047,,,
1,405_merged_9740069,,,
1,116_merged_9740070,,,
1,043,,,
1,003,,,
1,027,,,
1,102,,,
1,114_merged_9740062,,,
1,415_merged_9740063,,,
1,029_merged_9740077,,,
1,014,,,
1,041,,,
1,018,,,
1,022_merged_9740076,,,
1,107_merged_9740078,,,
1,009,,,
1,104,,,
1,001,,,
1,011,,,
1,021,,,
1,114_merged_9740084,,,
1,055,,,
1,120_merged_9740074,,,
1,101_merged_9740071,,,
1,013_merged_9740045,,,
1,115,,,
1,121,,,
1,109,,,
1,004,,,
1,403_merged_9740050,,,
1,008,,,
1,026_merged_9740075,,,
1,105,,,
1,022_merged_9740054,,,
1,006,,,
1,029_merged_9740055,,,
1,023,,,
1,110,,,
1,430_merged_9740079,,,
1,033,,,
1,057,,,
1,013_merged_9740067,,,
1,120_merged_9740052,,,
1,111_merged_9740088,,,
1,118_merged_9740046,,,
1,050,,,
1,117,,,
1,002,,,
1,058,,,
1,090,,,
3,800_merged_9740065,,,
3,800_merged_9740087,,,
2,031,,,
2,090,,,
2,035,,,
2,030,,,
6,967_merged_9740051,,,
6,961_merged_9740083,,,
6,919_merged_9740059,,,
6,967_merged_9740073,,,
6,966_merged_9740080,,,
6,919_merged_9740081,,,
6,922_merged_9740086,,,
6,974,,,
6,960_merged_9740060,,,
6,922_merged_9740064,,,
6,973,,,
6,960_merged_9740082,,,
6,966_merged_9740058,,,
6,961_merged_9740061,,,
6,972,,,
