route_long_name,route_id,route_type,route_text_color,agency_id,route_color,route_url,route_desc,route_short_name
ELIZABETH RIVER FERRY,090,4,,,,,Norfolk/Portsmouth ferry,090
Denbigh Fringe,430_merged_9740079,3,,,,,Denbigh Fringe/NNTC,430
JEFFERSON/RIVERSIDE,111_merged_9740066,3,,,,,Thomas Nelson/Riverside/Denbigh,111
COLONIAL AVE,011,3,,,,,Downtown Norfolk/Colonial Place,011
INDIAN RIVER ROAD,012,3,,,,,South Norfolk/TCC Virginia Beach,012
BATTLEFIELD BLVD,014,3,,,,,Robert Hall/TCC Chesapeake/Community Service Board,014
MILITARY HWY,015,3,,,,,Evelyn Butts/Robert Hall Boulevard,015
BALLENTINE BLVD,018,3,,,,,Downtown Norfolk/Ballentine Boulevard,018
LYNNHAVEN PKWY,029_merged_9740055,3,,,,,Great Neck/Pleasure House Rd/TCC Virginia Beach,029
MAX VIRGINIA BEACH-NEWPORT NEWS EXPRESS,967_merged_9740051,3,,,,,Virginia Beach/Chesapeake/Norfolk/Newport News,967
NEWTOWN RD,025,3,,,,,Newtown Road Station/Princess Anne/Virginia Beach Municipal Center,025
WILLIAMSBURG,121,3,,,,,Newport News Transit Center/Williamsburg Transit Center,121
NORTHAMPTON BLVD,027,3,,,,,Pleasure House Rd./Newtown Rd Station,027
LITTLE CREEK ROAD,021,3,,,,,Naval Station Norfolk/Joint Expeditionary Base Little Creek,021
VIRGINIA BEACH BLVD,020,3,,,,,Downtown Norfolk/Virginia Beach Oceanfront,020
PRINCESS ANNE RD,023,3,,,,,Norfolk General Hospital/Military Circle/JANAF,023
BUCKROE SHOPPING CENTER - NEWPORT NEWS SHIPYARD,403_merged_9740050,3,,,,,,403
NEWPORT NEWS TRANSIT CENTER - OAKLAND INDUSTRIAL,414,3,,,,,NNTC/Jefferson/Oakland,414
MAX GREENBRIAR/INDIAN RIVER/NAVAL STATION NORFOLK,922_merged_9740064,3,,,,,Chesapeake/Virginia Beach to Naval Station Norfolk,922
MAX - NORFOLK TO NNTC,961_merged_9740083,3,,,,,Norfolk/Hampton/Newport News,961
MAX SILVERLEAF/NEWPORT NEWS SHIPBUILDING,966_merged_9740058,3,,,,,Silverleaf/Newport News Shipbuliding,966
LIGHT RAIL TIDE,800_merged_9740087,2,,,,,EVMC/Fort Norfolk/Newtown Road,800
CAMPOSTELLA,013_merged_9740045,3,,,,,Downtown Norfolk/Robert Hall Boulevard/Chesapeake Crossing,013
DENBIGH PARK AND RIDE - NEWPORT NEWS SHIPYARD,430_merged_9740057,3,,,,,,430
WEAVER ROAD,114_merged_9740062,3,,,,,Newmarket/Downtown Hampton,114
KECOUGHTAN,101_merged_9740071,3,,,,,Downtown Newport News/Downtown Hampton,101
FOX HILL ROAD,115,3,,,,,Buckroe/Willow Oaks/Downtown Hampton,115
PHOEBUS,117,3,,,,,Hampton University/V.A. Hospital,117
THOMAS NELSON COMMUNITY COLLEGE,110,3,,,,,Downtown Hampton/Thomas Nelson,110
JEFFERSON AVENUE,112,3,,,,,Downtown Newport News/Riverside Hospital,112
GENERAL BOOTH BLVD,033,3,,,,,North Seashore/Virginia Beach Municipal Center,033
ATLANTIC AVENUE TROLLEY,030,3,,,,,Seasonal Service/Atlantic Avenue,030
AQUARIUM AND CAMPGROUND TROLLEY,031,3,,,,,Seasonal Service/Aquarium/Campground,031
HOLLAND ROAD,036,3,,,,,Pembroke East/TCC Virginia Beach,036
