stop_lat,zone_id,stop_lon,stop_id,stop_name,location_type
36.758941,,-76.24989,0835,BATTLEFIELD & LENORE,0
36.756025,,-76.248569,0836,BATTLEFIELD & GIBSON,0
36.811907,,-76.249426,0831,STALHAM & FIRESIDE,0
36.817631,,-76.251905,0833,WINGFIELD & BERKLEY,0
36.729858,,-76.241002,0839,BATTLEFIELD & NORTHFIELD,0
36.734675,,-76.240706,0838,BATTLEFIELD & GREAT BRIDGE,0
36.772908,,-76.287121,5988,BAINBRIDGE & MCCLOUD,0
36.91568,,-76.23646,0546,LITTLE CREEK & MOOSE,0
36.915742,,-76.252787,0541,LITTLE CREEK & HAROLD,0
36.912707,,-76.255062,0540,TIDEWATER & LITTLE CREEK,0
36.9149,,-76.246169,0543,LITTLE CREEK & MERRITT,0
36.91515,,-76.250013,0542,LITTLE CREEK & SEWELLS POINT,0
36.839354,,-76.181378,5982,PRINCESS ANNE & PARLIAMENT,0
36.800547,,-76.130568,5983,PRINCESS ANNE & BRANTINGHAM,0
36.760138,,-76.067137,5980,PRINCESS ANNE & CURRY COMB,0
36.760058,,-76.067214,5981,PRINCESS ANNE & CURRY COMB,0
36.869349,,-76.180934,5986,BAKER & HERBERT MOORE,0
36.916639,,-76.232455,0548,LITTLE CREEK & BISON,0
36.847477,,-76.160483,5984,VIRGINIA BEACH & NORTHRIDGE,0
36.792615,,-76.118462,5985,PRINCESS ANNE & LYNNHAVEN,0
36.859776,,-76.277925,0411_merged_9740030,CHURCH & GOFF,0
36.862788,,-76.294505,0721,COLONIAL & GRAYDON,0
36.859555,,-76.296099,0720,COLONIAL & BOISSEVAIN,0
36.863772,,-76.293992,0722,COLONIAL & PRINCESS ANNE,0
36.867244,,-76.292498,0725,COLONIAL & WASHINGTON,0
37.006545,,-76.394701,2318,PEMBROKE & GREENBRIAR,0
37.007937,,-76.391313,2319,G & PEMBROKE,0
37.004857,,-76.397323,2317,PEMBROKE & CHILDS,0
37.001568,,-76.402178,2315,PEMBROKE & ABERDEEN,0
36.996011,,-76.407616,2312,35TH & ACORN,0
36.997631,,-76.405848,2313,SHELL & PARRISH,0
36.993546,,-76.410394,2310,35TH & CHESTNUT,0
36.861397,,-76.173298,5854,NEWTOWN & CONNIE,0
36.873322,,-76.139387,5855,HAYGOOD & FERRY PLANTATION,0
36.873695,,-76.138726,5856,HAYGOOD & FERRY PLANTATION,0
36.824842,,-76.404397,5857,PORTSMOUTH & DOCK LANDING,0
37.000014,,-76.425949,5851,MARSHALL & TIMBER,0
36.843678,,-76.134608,5853,VIRGINIA BEACH & CENTRAL PARK,0
36.824964,,-76.404158,5858,PORTSMOUTH & DOCK LANDING,0
36.84905,,-76.191499,3773,KEMPSVILLE & NORTH CENTER,0
36.946,,-76.238834,0058,OCEAN VIEW & ATLANS,0
36.841719,,-75.997332,3777,VIRGINIA BEACH & BIRDNECK,0
36.797969,,-76.084527,3776,HOLLAND & WARWICK,0
36.953607,,-76.251765,0053,DUFFYS & GRANBY,0
36.950342,,-76.253816,0051,GRANBY & GOVERNMENT,0
36.783101,,-76.334331,3778,GEORGE WASHINGTON & WOODLAND,0
36.947954,,-76.241495,0056,OCEAN VIEW & ELNORA,0
36.949835,,-76.245845,0055,OCEAN VIEW & NORFOLK,0
36.951094,,-76.24792,0054,OCEAN VIEW & HAMMETT,0
36.884724,,-76.181697,1328_merged_9740035,NORTHAMPTON & ADAMS,0
37.02704,,-76.367271,2268,MICHIGAN & QUEEN,0
37.026214,,-76.36824,2269,QUEEN & MICHIGAN,0
36.850458,,-76.26102,0618,CORPREW & PRESIDENTIAL,0
36.847049,,-76.269992,0615,PARK & PRESIDENTIAL,0
36.979885,,-76.405,2518,16TH & ROANOKE,0
36.848964,,-76.268159,0616,PARK & BOND,0
36.95632,,-76.254101,0610,OCEAN VIEW & FIRST VIEW,0
36.852572,,-76.279456,0613,BRAMBLETON & CHURCH,0
36.853449,,-76.282047,0612,BRAMBLETON & LINCOLN,0
37.011075,,-76.432784,2442,MARSHALL & HILTON,0
37.013776,,-76.434422,2441,MARSHALL & 72ND,0
37.007002,,-76.43021,2444,MARSHALL & RICHARD,0
36.79521,,-76.347328,2445,GUST & MARCY,0
37.00357,,-76.428138,2448,MARSHALL & GLOUCESTER,0
37.001308,,-76.426736,2449,MARSHALL & NANSEMOND,0
36.937117,,-76.325188,9250,SECOND & B,0
37.050005,,-76.429022,7866,BIG BETHEL & RADFORD,0
36.843019,,-76.020948,5989,FIRST COLONIAL & VIRGINIA BEACH,0
36.859973,,-76.207081,0938,JANAF SHOPPING CENTER,0
37.013101,,-76.451276,2101,75TH & RIVER,0
36.868714,,-76.211099,0939,MILITARY & LAKE HERBERT,0
37.029513,,-76.345109,2046,KING & PEMBROKE,0
37.030652,,-76.346709,2047,HAMPTON TRANSFER CENTER,0
37.027373,,-76.341813,2045,EATON & MILL POINT,0
37.033138,,-76.33007,2042,PEMBROKE & CYPRESS,0
36.874535,,-76.295305,0428,COLLEY & 26TH,0
37.023552,,-76.352231,2040,KECOUGHTAN & CHAPEL,0
36.875904,,-76.256844,2041,LAFAYETTE & LENS,0
36.79328,,-76.366547,9432,LOREN & ROOSEVELT,0
36.787956,,-75.998027,1466_merged_9740034,GENERAL BOOTH & DAM NECK,0
37.035906,,-76.347077,2048,KING & HUFFMAN,0
36.823697,,-76.210677,0934,MILITARY & BULLIS,0
36.800534,,-76.368411,9416,GREENWOOD & BONNE VILLA,0
36.888598,,-76.303014,5828,HAMPTON & 49TH,0
