block_id,route_id,direction_id,shape_id,service_id,trip_id
b_795905,115,1,1150060,N-1810-NFAL1810-Holiday1-01-1111111,7784580-N-1810-NFAL1810-Holiday1-01-1111111
b_793889,027,1,0270051,V-1810-VFAL1810-Saturday-02,7760646-V-1810-VFAL1810-Saturday-02
a_782178,115,0,1150059,N-1805-NSUM1805-Weekday-02,7647487-N-1805-NSUM1805-Weekday-02
a_771876,030,1,0300048,VB-1805A-VB-1805A-Mon-Thu-08,7508449-VB-1805A-VB-1805A-Mon-Thu-08
b_799282,011,1,0110080,S-1810-SFAL2018-Saturday-22,7844128-S-1810-SFAL2018-Saturday-22
b_786408,101_merged_9740071,1,1010105,N-1810-NFAL1810-Saturday-01,7685930-N-1810-NFAL1810-Saturday-01
a_782606,045,1,0450315,S-1805-SSUM2018-Saturday-13,7652270-S-1805-SSUM2018-Saturday-13
a_782204,107_merged_9740056,1,1070125,N-1805-NSUM1805-Weekday-02,7647836-N-1805-NSUM1805-Weekday-02
a_782747,001,1,0010544,S-1805-SSUM2018-Friday-13,7653948-S-1805-SSUM2018-Friday-13
b_793879,026_merged_9740075,0,0260126,V-1810-VFAL1810-Friday-02,7760368-V-1810-VFAL1810-Friday-02
a_782214,105,0,1050114,N-1805-NSUM1805-Weekday-02,7647632-N-1805-NSUM1805-Weekday-02
a_772178,800_merged_9740065,1,8000031,R-1805-RSUM1805-Saturday-01,7519607-R-1805-RSUM1805-Saturday-01
b_790961,116_merged_9740070,0,1160100,N-1810-NFAL1810-Weekday-01,7685621-N-1810-NFAL1810-Weekday-01
b_786338,104,0,1040083,N-1810-NFAL1810-Weekday-01,7685238-N-1810-NFAL1810-Weekday-01
b_799102,044,0,0440164,S-1810-SFAL2018-Friday-22,7842795-S-1810-SFAL2018-Friday-22
b_799325,015,1,0150578,S-1810-SFAL2018-Saturday-22,7844516-S-1810-SFAL2018-Saturday-22
a_782613,001,0,0010538,S-1805-SSUM2018-Saturday-13,7652690-S-1805-SSUM2018-Saturday-13
